id_sample;NAT1;BIRC5;BAG1;BCL2;BLVRA;CCNB1;CCNE1;CDC6;CDC20;CDH3;CENPF;EGFR;ERBB2;ESR1;FGFR4;FOXC1;GRB7;FOXA1;KRT5;KRT14;KRT17;MAPT;MDM2;MKI67;MMP11;MYBL2;MYC;PGR;RRM2;SFRP1;TYMS;MIA;EXO1;PTTG1;MELK;NDC80;KIF2C;UBE2C;ORC6;SLC39A6;PHGDH;GPR160;UBE2T;CXXC5;ANLN;CEP55;ACTR3B;MLPH;NUF2;TMEM45B;pam50
TCGA-3C-AAAU-01A;7.100449;3.361004;3.972581;4.145669;4.765233;4.7889870000000005;2.164814;2.633598;4.1312050000000005;0.133455;3.1821650000000004;0.689091;5.239199;3.8776980000000005;0.923478;0.342602;3.8456019999999995;6.198849;0.03438;0.0;0.009777;4.9174169999999995;5.880554;3.4966160000000004;6.383997;3.9616279999999997;5.324133;3.152494;4.069746;2.610955;3.3162760000000002;0.056151;1.8514110000000001;3.551024;2.541704;2.6878990000000003;3.42205;4.678216;1.8376540000000001;10.319962;2.9915540000000003;4.150233;4.106918;5.528618;3.073409;2.66986;1.9284599999999998;5.5679989999999995;2.536764;0.21359699999999998;luminal-A
TCGA-3C-AALI-01A;3.45364;4.50104;2.720929;1.49302;5.82348;5.281003;2.535437;2.734157;4.176553;0.110023;3.392215;0.954435;9.927166;0.382603;4.653487999999999;0.794085;8.780099;6.3030029999999995;2.539948;2.954742;3.7553620000000003;0.7674979999999999;2.1690650000000002;3.2939279999999997;6.031836;6.328958999999999;1.9978759999999998;0.127529;5.110849;1.02852;3.660515;0.23976799999999998;2.8931400000000003;3.9767650000000003;3.232838;2.481391;3.674568;5.883007;2.7629080000000004;4.579932;2.97348;5.5612260000000004;5.648057;4.711309;3.88111;3.357553;1.168684;7.064176;3.12462;3.946538;HER2-enriched
TCGA-3C-AALJ-01A;4.4555739999999995;4.164643;3.911511;4.191457;5.987255;5.229446;2.267963;3.379961;4.592752;0.23678600000000002;2.984169;0.821807;5.804556;4.859469;0.605796;1.628313;4.46761;5.905421;0.098767;0.105929;0.310048;3.530899;3.002628;2.222538;6.646211999999999;5.776590000000001;4.428182;1.3993389999999999;3.8582660000000004;0.767785;3.567142;0.047283;1.735396;4.473512;3.361018;3.015086;3.505261;5.706425;2.5003330000000004;7.747377;1.003328;2.859309;5.213461;6.152875;2.697093;2.599436;1.177678;5.22242;3.0533349999999997;0.281303;luminal-B
TCGA-3C-AALK-01A;4.297961;3.9202339999999998;3.688335;3.894904;5.211594;4.014641;0.9511069999999999;1.47295;3.8065519999999995;0.062391999999999996;2.893521;2.0447610000000003;7.382022999999999;3.2848980000000005;1.462492;2.0983389999999997;4.968694999999999;6.47001;5.303344;6.553266000000001;6.691324000000001;3.180234;2.6290400000000003;2.355445;5.776565;3.27766;4.540685;2.991844;3.293315;3.701924;3.479655;1.252874;1.311587;3.117028;2.326996;1.7880169999999997;2.322912;4.378114;0.811602;7.921403;2.781136;3.063807;4.166154;5.612184;2.645664;2.448027;1.026535;6.22559;1.717959;3.289543;luminal-A
TCGA-4H-AAAK-01A;1.6953779999999998;2.950846;4.110014;3.572843;4.317856;3.772768;1.103958;2.338953;3.4734839999999996;0.098773;2.514709;1.5270219999999999;5.9429300000000005;4.450677;3.2926279999999997;1.559426;4.087059;6.456412;5.0813489999999994;5.968474;5.93979;4.834376;2.4141630000000003;2.498481;7.791991;3.3000910000000006;6.156276;3.961307;2.3027349999999998;4.090580999999999;3.474526;1.224086;1.1199370000000002;2.956249;2.377493;1.830427;2.509486;3.8784440000000004;0.8164640000000001;5.725175;2.728038;3.289418;3.437585;4.299617;2.068516;2.1526520000000002;1.5131809999999999;5.485277;1.537125;2.976903;luminal-A
TCGA-5L-AAT0-01A;3.83923;2.030192;3.649085;3.958096;5.186208000000001;3.1304060000000002;1.138433;1.494393;2.7206099999999998;0.061163;2.014191;1.5845870000000002;5.5791830000000004;4.690124;0.85309;1.740289;3.603108;6.353737000000001;5.114444000000001;6.002268;5.1819690000000005;4.596883999999999;2.475144;1.5680969999999999;7.717721000000001;2.3010770000000003;4.805902;1.792283;2.092475;4.301228;2.6116479999999997;1.128081;0.877216;2.300325;1.536737;1.253309;1.582389;3.057444;0.621261;5.251726000000001;2.413841;3.236713;3.555052;5.281731;1.050713;1.284239;1.413346;6.059373;0.947315;2.884543;luminal-A
TCGA-5T-A9QA-01A;4.240333000000001;4.101392;5.99998;3.6572699999999996;5.5967199999999995;4.623284;2.093907;3.2993690000000004;4.025518;0.044272000000000006;3.404757;0.359111;6.0894330000000005;4.033663;5.549974;1.192652;4.960483999999999;6.920833999999999;0.23233299999999998;0.21957600000000002;0.295593;1.505147;3.151598;2.374246;3.3474180000000002;4.373277;5.0235199999999995;0.508054;3.177117;0.320077;4.322763;0.31419600000000003;2.5988919999999998;2.857475;2.861895;2.4175619999999998;3.170913;5.696208;1.726579;7.9920789999999995;0.506613;4.735257;5.421953;4.4690080000000005;2.458259;3.6128699999999996;1.795239;7.436506;3.354954;6.090259;luminal-B
TCGA-A1-A0SD-01A;4.963636;2.5643740000000004;5.814198;3.9223;5.102889;3.7402610000000003;0.923164;1.390708;2.47631;0.078123;2.480082;2.300949;6.057911;5.281034;3.45842;2.167631;3.710915;6.736332000000001;6.3193779999999995;6.528243;7.105944999999999;3.2089950000000003;3.035709;2.773475;5.689691000000001;3.100159;5.334683999999999;1.774719;2.605668;4.23205;2.171754;1.1029129999999998;0.9937530000000001;2.688169;2.041891;1.205069;1.57418;3.9697690000000003;0.645255;10.097159;1.932459;3.9981400000000002;3.0686869999999997;4.905977;2.2317810000000002;2.381825;1.315102;6.152585;1.548192;2.809079;luminal-A
TCGA-A1-A0SE-01A;6.03281;3.270247;3.897332;3.9531709999999998;5.822965;4.505911;0.841275;2.100875;4.074522;0.057821000000000004;3.9681900000000003;2.671775;5.565239;4.171663;1.0275379999999998;2.4293709999999997;3.137489;6.66936;6.221309;6.236388;5.327789;4.823743;3.058716;3.105425;5.484032;3.779523;5.244399;4.627553;2.637608;6.531452;2.8883240000000003;1.498875;2.234661;3.354596;2.433967;2.054558;2.9244950000000003;4.305632;0.5898359999999999;8.81149;3.979052;3.862164;4.606884;5.015293;2.6930509999999996;2.727214;1.419818;5.373637;2.0861400000000003;1.3431030000000002;luminal-A
TCGA-A1-A0SF-01A;7.004778999999999;2.3604;3.6230589999999996;3.893154;5.825336;3.9375699999999996;1.2863360000000001;1.8888169999999997;4.035895;0.060869000000000006;2.7739580000000004;2.039614;5.334716;4.9394;2.3979169999999996;1.5207540000000002;3.1629240000000003;6.401586;6.2849900000000005;6.9908850000000005;6.054411;4.273892;2.8599200000000002;2.5839220000000003;3.6234370000000005;3.921062;4.962771;4.572096;2.637939;5.257172;2.949716;1.5719020000000001;1.4637930000000001;2.7067240000000004;2.176644;1.779062;2.6109400000000003;4.1746620000000005;0.557872;7.412576;2.046979;4.491318;3.528951;5.131444;1.9018009999999999;2.236695;1.675818;5.875418;1.65145;1.390008;luminal-A
