id_sample;APOC1;MERTK;CMTM3;XPR1;H2BC5;MSMO1;TMEM97;IFFO2;FAM89A;CTSH;DOK4;ARFGEF3;FOXA1;NCF2;SNORD62B;PYGB;H3P6;DGUOK-AS1;APOE;IGLV7-46;NES;STOM;ELN;ERRFI1;IL1RN;FZD5;LIMK2;IER5;RNU6-850P;CTSW;CHCHD2P9;LGALS2;RPS2P46;KDM7A-DT;FLVCR2;PRC1;FOXM1;MICAL1;MHENCR;CELSR2;SEZ6L2;SORD;SNAI1;MELK;MMP12;SOX9;APBA2;NFIB;GRK5;TMEM150B;tissue_status;source;class
TCGA-43-6647-01A;3.692305;2.569732;4.15559;4.094676;2.792685;4.901656;2.290414;4.404727;2.749062;6.560401;2.916253;0.645437;0.305448;3.777752;1.10969;5.036269;3.427798;0.812759;6.289549;3.081413;3.712585;5.715155;2.494779;5.658543;5.352689;1.603194;5.315352;3.347011;0.634589;1.153725;2.292747;6.170941;2.258906;2.416775;1.46801;3.113603;3.987042;2.455274;1.687131;3.301152;5.913647;2.71318;2.952726;2.044266;7.120371;4.692437;2.630496;1.996536;1.927014;1.28006;tumoral;TCGA-LUSC;SQC
TCGA-22-4593-01A;2.949213;1.027134;4.030874;2.677671;3.339568;6.22921;5.446595;4.415215;2.71406;2.739495;2.806878;0.873398;3.780116;2.238145;0.801689;6.715492;3.967429;1.528098;4.525605;3.328695;3.019713;5.588161;2.317363;5.340114;3.064744;1.109417;4.509576;2.617084;1.095964;1.44499;6.232879;5.031688;3.90507;2.93557;0.614639;4.742355;4.809701;2.043815;1.987484;4.374073;5.466573;2.730374;1.408844;3.737576;2.693306;5.017445;1.988419;4.082883;1.961332;0.320457;tumoral;TCGA-LUSC;SQC
TCGA-92-7341-01A;5.400119;3.897991;3.961812;4.805674;3.608529;6.396105;4.997865;3.701787;4.218262;4.566433;2.870315;1.35695;0.632262;3.154392;1.013383;5.952289;2.778527;2.534483;6.279737;3.029898;2.460793;6.238754;1.642679;4.43713;4.665649;1.180638;4.455959;2.639902;0.360089;1.418589;3.269786;5.849802;2.854741;3.364594;0.994641;4.657988;4.644909;1.487677;2.450438;2.748732;3.144082;3.960228;1.417569;3.668505;6.228964;3.631651;2.902791;2.988236;1.996756;0.45946;tumoral;TCGA-LUSC;SQC
TCGA-68-8251-01A;3.774515;2.150148;4.081626;3.18355;1.947876;4.221295;4.161457;2.794275;3.145032;4.488327;2.390135;1.460426;3.601031;3.47574;2.172688;4.648795;2.819027;0.800143;5.729022;4.264692;3.298517;5.682438;2.823099;4.680525;3.418981;1.557129;4.21435;2.940741;1.676786;2.255189;3.238307;5.364434;2.594649;1.306755;0.979042;4.164329;4.724946;2.828199;2.095127;2.900037;3.212341;3.244686;2.836101;3.278803;6.731229;4.789792;2.956461;2.591611;1.33775;0.842107;tumoral;TCGA-LUSC;SQC
TCGA-85-8479-01A;2.022175;0.795053;2.062744;3.044048;5.256811;4.986559;2.568166;4.760918;3.91848;5.046272;3.395144;0.731007;2.367649;3.425198;2.643929;4.354768;4.2155;3.34288;3.1426;0.205359;1.864746;6.854498;1.099852;4.923351;5.439573;2.236906;5.158902;4.865372;2.208319;0.508483;3.901956;7.173845;1.959871;3.025608;0.434705;4.540502;4.039842;1.532035;3.500577;5.417462;5.758853;1.904738;1.699228;2.593756;1.851387;3.478012;0.346543;0.749769;1.143228;0.171289;tumoral;TCGA-LUSC;SQC
TCGA-85-8666-01A;5.081326;1.847408;3.472309;5.064267;2.332815;4.554978;3.791437;3.437406;3.527964;4.553245;2.121254;1.059957;3.131171;4.866393;1.084348;6.636762;3.282881;1.40221;6.347396;2.191062;4.111301;6.649276;1.385599;4.360964;6.486299;1.996883;3.758357;4.823241;0.952701;1.460307;2.059909;5.898441;1.822573;3.622431;1.358447;4.000246;5.434557;2.603257;1.890106;4.295918;3.22979;2.845487;2.99242;3.765791;7.134901;5.574143;1.137086;2.380319;2.11131;1.44128;tumoral;TCGA-LUSC;SQC
TCGA-43-A475-01A;7.149836;3.377885;3.847991;4.264981;2.861193;4.997043;5.063898;1.645197;2.846735;4.88226;2.488361;1.674551;2.887105;4.043137;3.569618;4.378208;2.610571;2.03938;8.411924;6.237443;1.929257;5.778637;2.368104;3.06865;2.431817;1.05928;4.083229;2.603151;2.540311;4.253466;2.990409;5.866942;2.749996;1.149757;2.363028;4.636366;5.184513;3.482839;2.861123;4.215295;1.556225;2.52354;1.06115;3.40436;5.773363;1.963504;3.153089;2.965662;1.701252;2.359815;tumoral;TCGA-LUSC;SQC
TCGA-37-A5EN-01A;4.849668;3.600361;4.612301;4.016964;4.719187;4.284361;4.491147;2.821542;4.389614;4.809836;3.957804;2.054221;3.050457;3.550984;3.256214;5.724142;2.418794;4.141272;5.439255;3.553063;4.213218;5.286706;2.965655;3.816547;2.43889;1.321296;4.789058;2.396782;1.433313;2.049128;2.773773;6.574404;3.053168;2.185081;2.010991;4.342633;4.150171;3.385232;3.566434;3.298654;3.058427;2.382655;1.521112;4.728575;2.578397;2.863279;2.02696;2.263611;1.635533;0.316632;tumoral;TCGA-LUSC;SQC
TCGA-56-5898-01A;5.952538;3.022836;3.63311;4.166512;4.138187;4.338964;3.025506;4.950156;4.743278;6.235566;3.135507;1.892346;3.479268;3.463788;1.928677;5.873798;4.124843;2.433208;7.133796;5.769212;3.065304;6.003979;3.052747;4.054825;5.007822;2.392138;5.923558;4.157801;0.623743;1.563296;2.878298;7.290301;3.862306;3.435023;1.783122;3.174115;3.428703;2.208304;1.971254;4.065463;4.233137;2.846582;1.649264;2.103156;3.696035;2.566098;0.899248;2.205904;1.976979;1.287937;tumoral;TCGA-LUSC;SQC
TCGA-77-8156-01A;7.516942;4.077677;4.28061;3.715652;3.494213;5.093514;5.377196;1.923058;3.797879;5.051135;2.407356;1.275006;2.294087;4.620852;1.694438;5.995206;2.946302;2.646732;9.160181;6.772498;3.06541;6.592131;3.88979;3.69535;3.457231;0.942849;3.915556;3.347329;2.421482;3.290336;2.816756;6.411656;2.330491;1.826059;1.495917;3.668396;4.943283;3.494686;2.678703;2.274029;2.457491;2.21356;1.994618;4.612867;5.79796;5.063833;1.517061;1.950845;1.99985;2.543036;tumoral;TCGA-LUSC;SQC
